time_ms,raw_angle,raw_angle_deg,corrected_cyclic_deg,unwrapped_raw_deg,servo_us,phase,i2c_valid,accepted,md,glitch
31,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
68,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
111,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
148,3711,326.16211,333.91586,2.63672,1500,START_NEUTRAL,1,1,1,0
190,3711,326.16211,333.91586,2.63672,1500,START_NEUTRAL,1,1,1,0
228,3711,326.16211,333.91586,2.63672,1500,START_NEUTRAL,1,1,1,0
269,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
308,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
352,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
388,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
431,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
468,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
511,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
548,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
591,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
628,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
669,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
709,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
754,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
790,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
831,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
868,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
911,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
948,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
989,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
1029,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
1069,3692,324.49219,332.50720,0.96680,1500,START_NEUTRAL,1,1,1,0
1112,3692,324.49219,332.50720,0.96680,1500,START_NEUTRAL,1,1,1,0
1149,3692,324.49219,332.50720,0.96680,1500,START_NEUTRAL,1,1,1,0
1191,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
1234,3703,325.45898,333.32272,1.93359,1500,START_NEUTRAL,1,1,1,0
1270,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
1315,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
1351,3706,325.72266,333.54517,2.19727,1500,START_NEUTRAL,1,1,1,0
1394,3717,326.68945,334.35913,3.16406,1500,START_NEUTRAL,1,1,1,0
1430,3717,326.68945,334.35913,3.16406,1500,START_NEUTRAL,1,1,1,0
1472,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1510,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1554,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1590,3719,326.86523,334.50681,3.33984,1500,START_NEUTRAL,1,1,1,0
1634,3719,326.86523,334.50681,3.33984,1500,START_NEUTRAL,1,1,1,0
1670,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1714,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1756,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
1792,3717,326.68945,334.35913,3.16406,1500,START_NEUTRAL,1,1,1,0
1834,3717,326.68945,334.35913,3.16406,1500,START_NEUTRAL,1,1,1,0
1872,3717,326.68945,334.35913,3.16406,1500,START_NEUTRAL,1,1,1,0
1912,3714,326.42578,334.13766,2.90039,1500,START_NEUTRAL,1,1,1,0
1949,3714,326.42578,334.13766,2.90039,1500,START_NEUTRAL,1,1,1,0
1992,3715,326.51367,334.21149,2.98828,1500,START_NEUTRAL,1,1,1,0
2034,3715,326.51367,334.21149,2.98828,1500,START_NEUTRAL,1,1,1,0
2070,3715,326.51367,334.21149,2.98828,1500,START_NEUTRAL,1,1,1,0
2115,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
2150,3712,326.25000,333.98999,2.72461,1500,START_NEUTRAL,1,1,1,0
2194,3700,325.19531,333.10031,1.66992,1500,START_NEUTRAL,1,1,1,0
2230,3700,325.19531,333.10031,1.66992,1500,START_NEUTRAL,1,1,1,0
2269,3700,325.19531,333.10031,1.66992,1500,START_NEUTRAL,1,1,1,0
2313,3708,325.89844,333.69345,2.37305,1500,START_NEUTRAL,1,1,1,0
2355,3708,325.89844,333.69345,2.37305,1500,START_NEUTRAL,1,1,1,0
2391,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
2431,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
2471,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
2509,3713,326.33789,334.06384,2.81250,1500,START_NEUTRAL,1,1,1,0
2550,3713,326.33789,334.06384,2.81250,1500,START_NEUTRAL,1,1,1,0
2588,3705,325.63477,333.47101,2.10938,1500,START_NEUTRAL,1,1,1,0
2632,3705,325.63477,333.47101,2.10938,1500,START_NEUTRAL,1,1,1,0
2669,3705,325.63477,333.47101,2.10938,1500,START_NEUTRAL,1,1,1,0
2710,3713,326.33789,334.06384,2.81250,1500,START_NEUTRAL,1,1,1,0
2751,3713,326.33789,334.06384,2.81250,1500,START_NEUTRAL,1,1,1,0
2794,3704,325.54688,333.39688,2.02148,1500,START_NEUTRAL,1,1,1,0
2836,3704,325.54688,333.39688,2.02148,1500,START_NEUTRAL,1,1,1,0
2872,3704,325.54688,333.39688,2.02148,1500,START_NEUTRAL,1,1,1,0
2914,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
2951,3710,326.07422,333.84171,2.54883,1500,START_NEUTRAL,1,1,1,0
2991,3707,325.81055,333.61929,2.28516,1500,START_NEUTRAL,1,1,1,0
3031,3707,325.81055,333.61929,2.28516,1498,RAMP_IN,1,1,1,0
3071,3707,325.81055,333.61929,2.28516,1495,RAMP_IN,1,1,1,0
3111,3708,325.89844,333.69345,2.37305,1492,RAMP_IN,1,1,1,0
3154,3708,325.89844,333.69345,2.37305,1489,RAMP_IN,1,1,1,0
3191,3708,325.89844,333.69345,2.37305,1485,RAMP_IN,1,1,1,0
3235,3711,326.16211,333.91586,2.63672,1481,RAMP_IN,1,1,1,0
3271,3711,326.16211,333.91586,2.63672,1478,RAMP_IN,1,1,1,0
3309,3708,325.89844,333.69345,2.37305,1475,RAMP_IN,1,1,1,0
3352,3708,325.89844,333.69345,2.37305,1471,RAMP_IN,1,1,1,0
3394,3708,325.89844,333.69345,2.37305,1468,RAMP_IN,1,1,1,0
3430,3701,325.28320,333.17444,1.75781,1465,RAMP_IN,1,1,1,0
3475,3701,325.28320,333.17444,1.75781,1461,RAMP_IN,1,1,1,0
3511,3707,325.81055,333.61929,2.28516,1458,RAMP_IN,1,1,1,0
3554,3707,325.81055,333.61929,2.28516,1455,RAMP_IN,1,1,1,0
3591,3707,325.81055,333.61929,2.28516,1452,RAMP_IN,1,1,1,0
3629,3714,326.42578,334.13766,2.90039,1450,SETTLE,1,1,1,0
3672,3714,326.42578,334.13766,2.90039,1450,SETTLE,1,1,1,0
3708,3702,325.37109,333.24860,1.84570,1450,SETTLE,1,1,1,0
3758,3702,325.37109,333.24860,1.84570,1450,SETTLE,1,1,1,0
3800,3710,326.07422,333.84171,2.54883,1450,SETTLE,1,1,1,0
3836,3710,326.07422,333.84171,2.54883,1450,SETTLE,1,1,1,0
3878,3710,326.07422,333.84171,2.54883,1450,SETTLE,1,1,1,0
3914,3713,326.33789,334.06384,2.81250,1450,SETTLE,1,1,1,0
3955,3713,326.33789,334.06384,2.81250,1450,SETTLE,1,1,1,0
3992,3713,326.33789,334.06384,2.81250,1450,SETTLE,1,1,1,0
4029,3713,326.33789,334.06384,2.81250,1450,SETTLE,1,1,1,0
4072,3713,326.33789,334.06384,2.81250,1450,SETTLE,1,1,1,0
4109,3714,326.42578,334.13766,2.90039,1450,SETTLE,1,1,1,0
4150,3714,326.42578,334.13766,2.90039,1450,SETTLE,1,1,1,0
4195,3714,326.42578,334.13766,2.90039,1450,SETTLE,1,1,1,0
4231,3718,326.77734,334.43298,3.25195,1450,SETTLE,1,1,1,0
4274,3718,326.77734,334.43298,3.25195,1450,SETTLE,1,1,1,0
4311,3715,326.51367,334.21149,2.98828,1450,SETTLE,1,1,1,0
4351,3715,326.51367,334.21149,2.98828,1450,SETTLE,1,1,1,0
4390,3715,326.51367,334.21149,2.98828,1450,SETTLE,1,1,1,0
4429,3708,325.89844,333.69345,2.37305,1450,SETTLE,1,1,1,0
4471,3708,325.89844,333.69345,2.37305,1450,SETTLE,1,1,1,0
4513,3708,325.89844,333.69345,2.37305,1450,SETTLE,1,1,1,0
4551,3715,326.51367,334.21149,2.98828,1450,SETTLE,1,1,1,0
4594,3715,326.51367,334.21149,2.98828,1450,SETTLE,1,1,1,0
4630,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
4669,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
4712,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
4760,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
4796,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
4831,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
4873,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
4914,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
4951,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
4994,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
5030,3713,326.33789,334.06384,2.81250,1450,MEASURE,1,1,1,0
5074,3713,326.33789,334.06384,2.81250,1450,MEASURE,1,1,1,0
5111,3713,326.33789,334.06384,2.81250,1450,MEASURE,1,1,1,0
5153,3695,324.75586,332.72961,1.23047,1450,MEASURE,1,1,1,0
5191,3695,324.75586,332.72961,1.23047,1450,MEASURE,1,1,1,0
5232,3720,326.95312,334.58063,3.42773,1450,MEASURE,1,1,1,0
5271,3720,326.95312,334.58063,3.42773,1450,MEASURE,1,1,1,0
5310,3720,326.95312,334.58063,3.42773,1450,MEASURE,1,1,1,0
5350,3715,326.51367,334.21149,2.98828,1450,MEASURE,1,1,1,0
5394,3715,326.51367,334.21149,2.98828,1450,MEASURE,1,1,1,0
5431,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
5470,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
5511,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
5549,3706,325.72266,333.54517,2.19727,1450,MEASURE,1,1,1,0
5593,3706,325.72266,333.54517,2.19727,1450,MEASURE,1,1,1,0
5634,3704,325.54688,333.39688,2.02148,1450,MEASURE,1,1,1,0
5670,3704,325.54688,333.39688,2.02148,1450,MEASURE,1,1,1,0
5714,3704,325.54688,333.39688,2.02148,1450,MEASURE,1,1,1,0
5757,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
5799,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
5834,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
5875,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
5912,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
5954,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
5990,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
6034,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
6070,3703,325.45898,333.32272,1.93359,1450,MEASURE,1,1,1,0
6114,3703,325.45898,333.32272,1.93359,1450,MEASURE,1,1,1,0
6150,3714,326.42578,334.13766,2.90039,1450,MEASURE,1,1,1,0
6194,3714,326.42578,334.13766,2.90039,1450,MEASURE,1,1,1,0
6231,3714,326.42578,334.13766,2.90039,1450,MEASURE,1,1,1,0
6269,3703,325.45898,333.32272,1.93359,1450,MEASURE,1,1,1,0
6312,3703,325.45898,333.32272,1.93359,1450,MEASURE,1,1,1,0
6351,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
6390,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
6434,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
6471,3693,324.58008,332.58133,1.05469,1450,MEASURE,1,1,1,0
6514,3693,324.58008,332.58133,1.05469,1450,MEASURE,1,1,1,0
6551,3717,326.68945,334.35913,3.16406,1450,MEASURE,1,1,1,0
6589,3717,326.68945,334.35913,3.16406,1450,MEASURE,1,1,1,0
6632,3717,326.68945,334.35913,3.16406,1450,MEASURE,1,1,1,0
6673,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
6710,3710,326.07422,333.84171,2.54883,1450,MEASURE,1,1,1,0
6760,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
6796,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
6834,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
6874,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
6915,3718,326.77734,334.43298,3.25195,1450,MEASURE,1,1,1,0
6951,3715,326.51367,334.21149,2.98828,1450,MEASURE,1,1,1,0
6993,3715,326.51367,334.21149,2.98828,1450,MEASURE,1,1,1,0
7031,3715,326.51367,334.21149,2.98828,1450,MEASURE,1,1,1,0
7069,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
7112,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
7153,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
7190,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
7229,3709,325.98633,333.76758,2.46094,1450,MEASURE,1,1,1,0
7272,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
7314,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
7351,3716,326.60156,334.28531,3.07617,1450,MEASURE,1,1,1,0
7393,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
7431,3705,325.63477,333.47101,2.10938,1450,MEASURE,1,1,1,0
7474,3708,325.89844,333.69345,2.37305,1450,MEASURE,1,1,1,0
7510,3708,325.89844,333.69345,2.37305,1450,MEASURE,1,1,1,0
7554,3708,325.89844,333.69345,2.37305,1450,MEASURE,1,1,1,0
7591,3712,326.25000,333.98999,2.72461,1450,MEASURE,1,1,1,0
7635,3712,326.25000,333.98999,2.72461,1452,RAMP_OUT,1,1,1,0
7671,3708,325.89844,333.69345,2.37305,1455,RAMP_OUT,1,1,1,0
7711,3708,325.89844,333.69345,2.37305,1458,RAMP_OUT,1,1,1,0
7757,3708,325.89844,333.69345,2.37305,1462,RAMP_OUT,1,1,1,0
7798,3713,326.33789,334.06384,2.81250,1465,RAMP_OUT,1,1,1,0
7834,3713,326.33789,334.06384,2.81250,1468,RAMP_OUT,1,1,1,0
7876,3715,326.51367,334.21149,2.98828,1472,RAMP_OUT,1,1,1,0
7912,3715,326.51367,334.21149,2.98828,1475,RAMP_OUT,1,1,1,0
7955,3715,326.51367,334.21149,2.98828,1478,RAMP_OUT,1,1,1,0
7991,3708,325.89844,333.69345,2.37305,1481,RAMP_OUT,1,1,1,0
8029,3708,325.89844,333.69345,2.37305,1484,RAMP_OUT,1,1,1,0
8074,3701,325.28320,333.17444,1.75781,1488,RAMP_OUT,1,1,1,0
8111,3701,325.28320,333.17444,1.75781,1491,RAMP_OUT,1,1,1,0
8153,3701,325.28320,333.17444,1.75781,1495,RAMP_OUT,1,1,1,0
8195,3718,326.77734,334.43298,3.25195,1498,RAMP_OUT,1,1,1,0
8231,3718,326.77734,334.43298,3.25195,1500,BETWEEN_LEVELS,1,1,1,0
8269,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8311,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8354,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8390,3714,326.42578,334.13766,2.90039,1500,BETWEEN_LEVELS,1,1,1,0
8434,3714,326.42578,334.13766,2.90039,1500,BETWEEN_LEVELS,1,1,1,0
8470,3714,326.42578,334.13766,2.90039,1500,BETWEEN_LEVELS,1,1,1,0
8515,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8551,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8593,3705,325.63477,333.47101,2.10938,1500,BETWEEN_LEVELS,1,1,1,0
8631,3705,325.63477,333.47101,2.10938,1500,BETWEEN_LEVELS,1,1,1,0
8669,3705,325.63477,333.47101,2.10938,1500,BETWEEN_LEVELS,1,1,1,0
8712,3704,325.54688,333.39688,2.02148,1500,BETWEEN_LEVELS,1,1,1,0
8758,3704,325.54688,333.39688,2.02148,1500,BETWEEN_LEVELS,1,1,1,0
8796,3717,326.68945,334.35913,3.16406,1500,BETWEEN_LEVELS,1,1,1,0
8832,3717,326.68945,334.35913,3.16406,1500,BETWEEN_LEVELS,1,1,1,0
8873,3717,326.68945,334.35913,3.16406,1500,BETWEEN_LEVELS,1,1,1,0
8916,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8952,3707,325.81055,333.61929,2.28516,1500,BETWEEN_LEVELS,1,1,1,0
8994,3704,325.54688,333.39688,2.02148,1500,BETWEEN_LEVELS,1,1,1,0
9030,3704,325.54688,333.39688,2.02148,1498,RAMP_IN,1,1,1,0
9069,3704,325.54688,333.39688,2.02148,1491,RAMP_IN,1,1,1,0
9112,3705,325.63477,333.47101,2.10938,1484,RAMP_IN,1,1,1,0
9150,3705,325.63477,333.47101,2.10938,1478,RAMP_IN,1,1,1,0
9190,3714,326.42578,334.13766,2.90039,1471,RAMP_IN,1,1,1,0
9235,3714,326.42578,334.13766,2.90039,1464,RAMP_IN,1,1,1,0
9271,3714,326.42578,334.13766,2.90039,1458,RAMP_IN,1,1,1,0
9311,3720,326.95312,334.58063,3.42773,1452,RAMP_IN,1,1,1,0
9351,3720,326.95312,334.58063,3.42773,1444,RAMP_IN,1,1,1,0
9391,3717,326.68945,334.35913,3.16406,1438,RAMP_IN,1,1,1,0
9431,3717,326.68945,334.35913,3.16406,1431,RAMP_IN,1,1,1,0
9469,3717,326.68945,334.35913,3.16406,1425,RAMP_IN,1,1,1,0
9513,3712,326.25000,333.98999,2.72461,1417,RAMP_IN,1,1,1,0
9551,3712,326.25000,333.98999,2.72461,1412,RAMP_IN,1,1,1,0
9591,3719,326.86523,334.50681,3.33984,1404,RAMP_IN,1,1,1,0
9628,3719,326.86523,334.50681,3.33984,1400,SETTLE,1,1,1,0
9674,3719,326.86523,334.50681,3.33984,1400,SETTLE,1,1,1,0
9716,3723,327.21680,334.80212,3.69141,1400,SETTLE,1,1,1,0
9758,3723,327.21680,334.80212,3.69141,1400,SETTLE,1,1,1,0
9800,3725,327.39258,334.94977,3.86719,1400,SETTLE,1,1,1,0
9836,3725,327.39258,334.94977,3.86719,1400,SETTLE,1,1,1,0
9873,3725,327.39258,334.94977,3.86719,1400,SETTLE,1,1,1,0
9914,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
9950,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
9992,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
10034,3722,327.12891,334.72827,3.60352,1400,SETTLE,1,1,1,0
10071,3722,327.12891,334.72827,3.60352,1400,SETTLE,1,1,1,0
10115,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
10150,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
10189,3726,327.48047,335.02359,3.95508,1400,SETTLE,1,1,1,0
10232,3728,327.65625,335.17126,4.13086,1400,SETTLE,1,1,1,0
10270,3728,327.65625,335.17126,4.13086,1400,SETTLE,1,1,1,0
10311,3738,328.53516,335.90955,5.00977,1400,SETTLE,1,1,1,0
10352,3738,328.53516,335.90955,5.00977,1400,SETTLE,1,1,1,0
10391,3738,328.53516,335.90955,5.00977,1400,SETTLE,1,1,1,0
10435,3752,329.76562,336.94312,6.24023,1400,SETTLE,1,1,1,0
10471,3752,329.76562,336.94312,6.24023,1400,SETTLE,1,1,1,0
10509,3759,330.38086,337.45993,6.85547,1400,SETTLE,1,1,1,0
10552,3759,330.38086,337.45993,6.85547,1400,SETTLE,1,1,1,0
10594,3759,330.38086,337.45993,6.85547,1400,SETTLE,1,1,1,0
10630,3758,330.29297,337.38611,6.76758,1400,MEASURE,1,1,1,0
10672,3758,330.29297,337.38611,6.76758,1400,MEASURE,1,1,1,0
10710,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
10751,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
10794,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
10836,3756,330.11719,337.23843,6.59180,1400,MEASURE,1,1,1,0
10871,3756,330.11719,337.23843,6.59180,1400,MEASURE,1,1,1,0
10915,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
10951,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
10989,3763,330.73242,337.75525,7.20703,1400,MEASURE,1,1,1,0
11033,3766,330.99609,337.97672,7.47070,1400,MEASURE,1,1,1,0
11069,3766,330.99609,337.97672,7.47070,1400,MEASURE,1,1,1,0
11113,3773,331.61133,338.49353,8.08594,1400,MEASURE,1,1,1,0
11153,3773,331.61133,338.49353,8.08594,1400,MEASURE,1,1,1,0
11191,3773,331.61133,338.49353,8.08594,1400,MEASURE,1,1,1,0
11229,3770,331.34766,338.27203,7.82227,1400,MEASURE,1,1,1,0
11272,3770,331.34766,338.27203,7.82227,1400,MEASURE,1,1,1,0
11314,3770,331.34766,338.27203,7.82227,1400,MEASURE,1,1,1,0
11350,3770,331.34766,338.27203,7.82227,1400,MEASURE,1,1,1,0
11389,3770,331.34766,338.27203,7.82227,1400,MEASURE,1,1,1,0
11432,3783,332.49023,339.22742,8.96484,1400,MEASURE,1,1,1,0
11473,3783,332.49023,339.22742,8.96484,1400,MEASURE,1,1,1,0
11510,3783,332.49023,339.22742,8.96484,1400,MEASURE,1,1,1,0
11551,3781,332.31445,339.08102,8.78906,1400,MEASURE,1,1,1,0
11590,3781,332.31445,339.08102,8.78906,1400,MEASURE,1,1,1,0
11634,3782,332.40234,339.15421,8.87695,1400,MEASURE,1,1,1,0
11670,3782,332.40234,339.15421,8.87695,1400,MEASURE,1,1,1,0
11713,3782,332.40234,339.15421,8.87695,1400,MEASURE,1,1,1,0
11754,3781,332.31445,339.08102,8.78906,1400,MEASURE,1,1,1,0
11798,3781,332.31445,339.08102,8.78906,1400,MEASURE,1,1,1,0
11835,3808,334.68750,341.05750,11.16211,1400,MEASURE,1,1,1,0
11876,3808,334.68750,341.05750,11.16211,1400,MEASURE,1,1,1,0
11912,3808,334.68750,341.05750,11.16211,1400,MEASURE,1,1,1,0
11948,3806,334.51172,340.91110,10.98633,1400,MEASURE,1,1,1,0
11992,3806,334.51172,340.91110,10.98633,1400,MEASURE,1,1,1,0
12034,3811,334.95117,341.27618,11.42578,1400,MEASURE,1,1,1,0
12071,3811,334.95117,341.27618,11.42578,1400,MEASURE,1,1,1,0
12113,3811,334.95117,341.27618,11.42578,1400,MEASURE,1,1,1,0
12150,3821,335.83008,342.00507,12.30469,1400,MEASURE,1,1,1,0
12195,3821,335.83008,342.00507,12.30469,1400,MEASURE,1,1,1,0
12230,3822,335.91797,342.07797,12.39258,1400,MEASURE,1,1,1,0
12273,3822,335.91797,342.07797,12.39258,1400,MEASURE,1,1,1,0
12311,3822,335.91797,342.07797,12.39258,1400,MEASURE,1,1,1,0
12353,3818,335.56641,341.78641,12.04102,1400,MEASURE,1,1,1,0
12391,3818,335.56641,341.78641,12.04102,1400,MEASURE,1,1,1,0
12434,3818,335.56641,341.78641,12.04102,1400,MEASURE,1,1,1,0
12470,3816,335.39062,341.64062,11.86523,1400,MEASURE,1,1,1,0
12515,3816,335.39062,341.64062,11.86523,1400,MEASURE,1,1,1,0
12551,3831,336.70898,342.73398,13.18359,1400,MEASURE,1,1,1,0
12590,3831,336.70898,342.73398,13.18359,1400,MEASURE,1,1,1,0
12630,3831,336.70898,342.73398,13.18359,1400,MEASURE,1,1,1,0
12674,3828,336.44531,342.51532,12.91992,1400,MEASURE,1,1,1,0
12710,3828,336.44531,342.51532,12.91992,1400,MEASURE,1,1,1,0
12753,3828,336.44531,342.51532,12.91992,1400,MEASURE,1,1,1,0
12795,3828,336.44531,342.51532,12.91992,1400,MEASURE,1,1,1,0
12836,3828,336.44531,342.51532,12.91992,1400,MEASURE,1,1,1,0
12872,3824,336.09375,342.22375,12.56836,1400,MEASURE,1,1,1,0
12908,3824,336.09375,342.22375,12.56836,1400,MEASURE,1,1,1,0
12952,3835,337.06055,343.02554,13.53516,1400,MEASURE,1,1,1,0
12988,3835,337.06055,343.02554,13.53516,1400,MEASURE,1,1,1,0
13033,3835,337.06055,343.02554,13.53516,1400,MEASURE,1,1,1,0
13074,3846,338.02734,343.82172,14.50195,1400,MEASURE,1,1,1,0
13110,3846,338.02734,343.82172,14.50195,1400,MEASURE,1,1,1,0
13150,3861,339.34570,344.90100,15.82031,1400,MEASURE,1,1,1,0
13190,3861,339.34570,344.90100,15.82031,1400,MEASURE,1,1,1,0
13233,3861,339.34570,344.90100,15.82031,1400,MEASURE,1,1,1,0
13270,3856,338.90625,344.54126,15.38086,1400,MEASURE,1,1,1,0
13314,3856,338.90625,344.54126,15.38086,1400,MEASURE,1,1,1,0
13351,3868,339.96094,345.40469,16.43555,1400,MEASURE,1,1,1,0
13394,3868,339.96094,345.40469,16.43555,1400,MEASURE,1,1,1,0
13430,3868,339.96094,345.40469,16.43555,1400,MEASURE,1,1,1,0
13470,3870,340.13672,345.54858,16.61133,1400,MEASURE,1,1,1,0
13510,3870,340.13672,345.54858,16.61133,1400,MEASURE,1,1,1,0
13554,3870,340.13672,345.54858,16.61133,1400,MEASURE,1,1,1,0
13590,3872,340.31250,345.69250,16.78711,1400,MEASURE,1,1,1,0
13629,3872,340.31250,345.69250,16.78711,1401,RAMP_OUT,1,1,1,0
13673,3880,341.01562,346.26312,17.49023,1409,RAMP_OUT,1,1,1,0
13714,3880,341.01562,346.26312,17.49023,1414,RAMP_OUT,1,1,1,0
13757,3885,341.45508,346.61975,17.92969,1422,RAMP_OUT,1,1,1,0
13799,3885,341.45508,346.61975,17.92969,1429,RAMP_OUT,1,1,1,0
13835,3885,341.45508,346.61975,17.92969,1435,RAMP_OUT,1,1,1,0
13876,3886,341.54297,346.69110,18.01758,1441,RAMP_OUT,1,1,1,0
13913,3886,341.54297,346.69110,18.01758,1448,RAMP_OUT,1,1,1,0
13952,3886,341.54297,346.69110,18.01758,1454,RAMP_OUT,1,1,1,0
13991,3879,340.92773,346.19180,17.40234,1461,RAMP_OUT,1,1,1,0
14030,3879,340.92773,346.19180,17.40234,1468,RAMP_OUT,1,1,1,0
